,section,issue,date_published,authors,name,is_highlighted,prb_citations
10.1103/PhysRevB.99.054101,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 5 February 2019,"Michal Stekiel, Adrien Girard, Tra Nguyen-Thanh, Alexei Bosak, Victor Milman, and Bjoern Winkler","Phonon-driven phase transitions in calcite, dolomite, and magnesite",False,7
10.1103/PhysRevB.99.054102,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 6 February 2019,Chris J. Pickard,Hyperspatial optimization of structures,True,13
10.1103/PhysRevB.99.054103,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 7 February 2019,"Wen Wang, Jian Shen, and Q.-C. He",Microscale superlubricity of graphite under various twist angles,False,19
10.1103/PhysRevB.99.054104,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,11 February 2019,"V. B. Eltsov, A. Gordeev, and M. Krusius",Kelvin-Helmholtz instability of AB interface in superfluid He3,False,3
10.1103/PhysRevB.99.054105,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,21 February 2019,"Xiaoying Zhuang, Bo He, Brahmanandam Javvaji, and Harold S. Park",Intrinsic bending flexoelectric constants in two-dimensional materials,False,58
10.1103/PhysRevB.99.054106,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,26 February 2019,"Xueyun Wang, Danni Yang, Hui-Min Zhang, Chuangye Song, Jing Wang, Guotai Tan, Renkui Zheng, Shuai Dong, Sang-Wook Cheong, and Jinxing Zhang",Anisotropic resistance switching in hexagonal manganites,False,13
10.1103/PhysRevB.99.054107,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,28 February 2019,"S. A. Fedorov, N. J. Engelsen, A. H. Ghadimi, M. J. Bereyhi, R. Schilling, D. J. Wilson, and T. J. Kippenberg",Generalized dissipation dilution in strained mechanical resonators,False,35
10.1103/PhysRevB.99.054201,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 1 February 2019,"K. Kudo, S. Yamada, J. Chikada, Y. Shimanuki, T. Ishibe, S. Abo, H. Miyazaki, Y. Nishino, Y. Nakamura, and K. Hamaya",Significant reduction in the thermal conductivity of Si-substituted Fe2VAl epilayers,False,14
10.1103/PhysRevB.99.054202,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 1 February 2019,Antonio M. García-García and Masaki Tezuka,Many-body localization in a finite-range Sachdev-Ye-Kitaev model and holography,False,14
10.1103/PhysRevB.99.054203,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 6 February 2019,"Anuradha Jagannathan, Piyush Jeena, and Marco Tarzia",Nonmonotonic crossover and scaling behavior in a disordered one-dimensional quasicrystal,False,10
10.1103/PhysRevB.99.054204,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 7 February 2019,Giuseppe De Tomasi,Algebraic many-body localization and its implications on information propagation,False,30
10.1103/PhysRevB.99.054205,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,13 February 2019,Jonathon Riddell and Erik S. Sørensen,Out-of-time ordered correlators and entanglement growth in the random-field XX spin chain,False,24
10.1103/PhysRevB.99.054206,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,19 February 2019,"S. E. Han, S. Atiganyanun, S. H. Lee, S. Cheek, and S. M. Han",Determination of internal reflectance for photonic glasses,False,7
10.1103/PhysRevB.99.054207,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,19 February 2019,Alexander Held and Michael Moseler,Ab initio thermodynamics study of ambient gases reacting with amorphous carbon,False,2
10.1103/PhysRevB.99.054208,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,20 February 2019,"Wei Zhang, Lei Wang, and Ziqiang Wang",Interpretable machine learning study of the many-body localization transition in disordered quantum Ising spin chains,False,20
10.1103/PhysRevB.99.054209,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,20 February 2019,"Dimitrios Kilymis, Simona Ispas, Bernard Hehlen, Sylvain Peuget, and Jean-Marc Delaye",Vibrational properties of sodosilicate glasses from first-principles calculations,False,17
10.1103/PhysRevB.99.054210,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,26 February 2019,Marc A. Galí and Matthew D. Arnold,Recurrent approach to effective material properties with application to anisotropic binarized random fields,False,2
10.1103/PhysRevB.99.054211,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,27 February 2019,M. Rossignolo and L. Dell'Anna,Localization transitions and mobility edges in coupled Aubry-André chains,False,50
10.1103/PhysRevB.99.054301,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5, 4 February 2019,"Sven Nordebo, Gerhard Kristensson, Mohammad Mirmoosa, and Sergei Tretyakov",Optimal plasmonic multipole resonances of a sphere in lossy media,False,9
10.1103/PhysRevB.99.054302,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,11 February 2019,"R. Jafari, Henrik Johannesson, A. Langari, and M. A. Martin-Delgado",Quench dynamics and zero-energy modes: The case of the Creutz model,False,49
10.1103/PhysRevB.99.054303,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,11 February 2019,"Ke Xu, Alexander J. Gabourie, Arsalan Hashemi, Zheyong Fan, Ning Wei, Amir Barati Farimani, Hannu-Pekka Komsa, Arkady V. Krasheninnikov, Eric Pop, and Tapio Ala-Nissila",Thermal transport in MoS2 from molecular dynamics using different empirical potentials,False,42
10.1103/PhysRevB.99.054304,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,12 February 2019,S. D. Sawtelle and M. A. Reed,Temperature-dependent thermal conductivity and suppressed Lorenz number in ultrathin gold nanowires,False,11
10.1103/PhysRevB.99.054305,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,13 February 2019,"Rabindranath Bag, Soumitra Hazra, Rajeev N. Kini, and Surjeet Singh",Excess specific heat from the gapped sliding phonon modes in the incommensurate composite crystal Sr14Cu24O41,False,3
10.1103/PhysRevB.99.054306,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,19 February 2019,"Ahana Chakraborty, Pranay Gorantla, and Rajdeep Sensarma",Nonequilibrium field theory for dynamics starting from arbitrary athermal initial conditions,False,9
10.1103/PhysRevB.99.054307,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,21 February 2019,Shimpei Goto and Ippei Danshita,Performance of the time-dependent variational principle for matrix product states in the long-time evolution of a pure state,False,27
10.1103/PhysRevB.99.054308,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,27 February 2019,"Justin P. Freedman, Robert F. Davis, and Jonathan A. Malen",Nondiffusive electron transport in metals: A two-temperature Boltzmann transport equation analysis of thermoreflectance experiments,False,1
10.1103/PhysRevB.99.054401,sect-articles-magnetism,99/5, 1 February 2019,Ping Tang and X. F. Han,Magnon resonant tunneling effect in double-barrier insulating magnon junctions and magnon field effect transistor,False,7
10.1103/PhysRevB.99.054402,sect-articles-magnetism,99/5, 1 February 2019,"A. V. Bondarenko, E. Holmgren, Z. W. Li, B. A. Ivanov, and V. Korenivski",Chaotic dynamics in spin-vortex pairs,False,10
10.1103/PhysRevB.99.054403,sect-articles-magnetism,99/5, 5 February 2019,"H. Yarloo, M. Mohseni-Rajaee, and A. Langari",Emergent statistical bubble localization in a Z2 lattice gauge theory,False,2
10.1103/PhysRevB.99.054404,sect-articles-magnetism,99/5, 6 February 2019,Guo-Qiang Zhang and J. Q. You,Higher-order exceptional point in a cavity magnonics system,True,75
10.1103/PhysRevB.99.054405,sect-articles-magnetism,99/5, 6 February 2019,Sergii Khmelevskyi and Peter Mohn,"(Fe,Sn)4N alloy as a model spin-glass system with short-range competing interactions on a nonfrustrated simple cubic lattice",False,2
10.1103/PhysRevB.99.054406,sect-articles-magnetism,99/5, 7 February 2019,"Junwei Tong, Liuxia Ruan, Xiannian Yao, Gaowu Qin, and Xianmin Zhang",Defect states dependence of spin transport in iron phthalocyanine spin valves,False,12
10.1103/PhysRevB.99.054407,sect-articles-magnetism,99/5, 8 February 2019,Junji Fujimoto and Gen Tatara,Nonlocal spin-charge conversion via Rashba spin-orbit interaction,False,4
10.1103/PhysRevB.99.054408,sect-articles-magnetism,99/5, 8 February 2019,"D. X. Li, F. Honda, A. Miyake, Y. Homma, Y. Haga, A. Nakamura, Y. Shimizu, A. Maurya, Y. J. Sato, M. Tokunaga, and D. Aoki",Magnetic and electrical properties of the ternary compound U2Ir3Si5 with one-dimensional uranium zigzag chains,False,3
10.1103/PhysRevB.99.054409,sect-articles-magnetism,99/5,11 February 2019,"Yalei Lu, Xing Guo, Vladimir Koval, and Chenglong Jia",Topological thermal Hall effect driven by spin-chirality fluctuations in frustrated antiferromagnets,False,15
10.1103/PhysRevB.99.054410,sect-articles-magnetism,99/5,11 February 2019,"Haydar Kanso, Renaud Patte, Vincent Baltz, and Denis Ledue",Influence of finite-size and edge effects on the exchange-bias properties of ferromagnetic/antiferromagnetic nanodots: Granular Monte Carlo investigation,False,5
10.1103/PhysRevB.99.054411,sect-articles-magnetism,99/5,13 February 2019,"M. Taheri, F. S. Razavi, Z. Yamani, R. Flacau, C. Ritter, S. Bette, and R. K. Kremer","Structural, magnetic, and thermal properties of Ce1−xEuxCrO3 orthochromite solid solutions",False,16
10.1103/PhysRevB.99.054412,sect-articles-magnetism,99/5,15 February 2019,"M. R. Cantarino, R. P. Amaral, R. S. Freitas, J. C. R. Araújo, R. Lora-Serrano, H. Luetkens, C. Baines, S. Bräuninger, V. Grinenko, R. Sarkar, H. H. Klauss, E. C. Andrade, and F. A. Garcia",Dynamic magnetism in the disordered hexagonal double perovskite BaTi1/2Mn1/2O3,False,6
10.1103/PhysRevB.99.054413,sect-articles-magnetism,99/5,15 February 2019,"D. I. Gorbunov, I. Ishii, T. Nomura, M. S. Henriques, A. V. Andreev, M. Uhlarz, T. Suzuki, S. Zherlitsyn, and J. Wosnitza",Magnetic phase diagram and crystal-field effects in the kagome-lattice antiferromagnet U3Ru4Al12,False,8
10.1103/PhysRevB.99.054414,sect-articles-magnetism,99/5,15 February 2019,"P. Fromholz, S. Capponi, P. Lecheminant, D. J. Papoular, and K. Totsuka",Haldane phases with ultracold fermionic atoms in double-well optical lattices,False,5
10.1103/PhysRevB.99.054415,sect-articles-magnetism,99/5,19 February 2019,"George A. Marchant, Christopher E. Patrick, and Julie B. Staunton",Ab initio calculations of temperature-dependent magnetostriction of Fe and A2Fe1−xGax within the disordered local moment picture,False,13
10.1103/PhysRevB.99.054416,sect-articles-magnetism,99/5,19 February 2019,"Thomas Bilitewski, Mike E. Zhitomirsky, and Roderich Moessner",Dynamics and energy landscape of the jammed spin liquid,False,8
10.1103/PhysRevB.99.054417,sect-articles-magnetism,99/5,19 February 2019,"R. Kumar, Tusharkanti Dey, P. M. Ette, K. Ramesha, Atasi Chakraborty, I. Dasgupta, J. C. Orain, C. Baines, Sándor Tóth, A. Shahee, S. Kundu, M. Prinz-Zwick, A. A. Gippius, N. Büttgen, P. Gegenwart, and A. V. Mahajan",Unconventional magnetism in the 4d4-based S=1 honeycomb system Ag3LiRu2O6,False,13
10.1103/PhysRevB.99.054418,sect-articles-magnetism,99/5,19 February 2019,Liqin Ke,Intersublattice magnetocrystalline anisotropy using a realistic tight-binding method based on maximally localized Wannier functions,False,15
10.1103/PhysRevB.99.054419,sect-articles-magnetism,99/5,19 February 2019,"N. Marcano, P. A. Algarabel, L. Fernández Barquín, J. P. Araujo, A. M. Pereira, J. H. Belo, C. Magén, L. Morellón, and M. R. Ibarra",Cluster-glass dynamics of the Griffiths phase in Tb5−xLaxSi2Ge2,False,23
10.1103/PhysRevB.99.054420,sect-articles-magnetism,99/5,19 February 2019,"J. Liu, F. Feringa, B. Flebus, L. J. Cornelissen, J. C. Leutenantsmeyer, R. A. Duine, and B. J. van Wees",Microwave control of thermal-magnon spin transport,False,9
10.1103/PhysRevB.99.054421,sect-articles-magnetism,99/5,19 February 2019,"Kunkun Li, Shifeng Jin, Jiangang Guo, Yanping Xu, Yixi Su, Erxi Feng, Yu Liu, Shengqiang Zhou, Tianping Ying, Shiyan Li, Ziqiang Wang, Gang Chen, and Xiaolong Chen",Double-peak specific heat and spin freezing in the spin-2 triangular lattice antiferromagnet FeAl2Se4,False,5
10.1103/PhysRevB.99.054422,sect-articles-magnetism,99/5,20 February 2019,Masataka Kawano and Chisa Hotta,Thermal Hall effect and topological edge states in a square-lattice antiferromagnet,False,41
10.1103/PhysRevB.99.054423,sect-articles-magnetism,99/5,21 February 2019,"Rohollah Khoshlahni, Alireza Qaiumzadeh, Anders Bergman, and Arne Brataas",Ultrafast generation and dynamics of isolated skyrmions in antiferromagnetic insulators,False,42
10.1103/PhysRevB.99.054424,sect-articles-magnetism,99/5,21 February 2019,"A. V. Sadovnikov, E. N. Beginin, S. E. Sheshukova, Yu. P. Sharaevskii, A. I. Stognij, N. N. Novitski, V. K. Sakharov, Yu. V. Khivintsev, and S. A. Nikitov",Route toward semiconductor magnonics: Light-induced spin-wave nonreciprocity in a YIG/GaAs structure,False,80
10.1103/PhysRevB.99.054425,sect-articles-magnetism,99/5,25 February 2019,"Debarchan Das, Daniel Gnida, and Dariusz Kaczorowski",Anisotropic magnetotransport and magnetic phase diagrams of the antiferromagnetic heavy-fermion superconductor Ce3PdIn11,False,7
10.1103/PhysRevB.99.054426,sect-articles-magnetism,99/5,25 February 2019,"Sungkyun Choi, S. Manni, J. Singleton, C. V. Topping, T. Lancaster, S. J. Blundell, D. T. Adroja, V. Zapf, P. Gegenwart, and R. Coldea",Spin dynamics and field-induced magnetic phase transition in the honeycomb Kitaev magnet α−Li2IrO3,False,22
10.1103/PhysRevB.99.054427,sect-articles-magnetism,99/5,25 February 2019,"S. V. Grigoriev, K. A. Pschenichnyi, E. V. Altynbaev, A. Heinemann, and A. Magrez",Spin-wave stiffness in the Dzyaloshinskii-Moriya helimagnet with ferrimagnetic ordering Cu2OSeO3,False,5
10.1103/PhysRevB.99.054428,sect-articles-magnetism,99/5,25 February 2019,"S. W. Lovesey, J. T. Collins, and S. P. Collins",Superchiral photons unveil magnetic circular dichroism,False,3
10.1103/PhysRevB.99.054429,sect-articles-magnetism,99/5,26 February 2019,"Vineeth Mohanan Parakkat, Kaichen Xie, and Kannan M. Krishnan",Tunable ground state in heterostructured artificial spin ice with exchange bias,False,12
10.1103/PhysRevB.99.054430,sect-articles-magnetism,99/5,26 February 2019,"B. F. McKeever, D. R. Rodrigues, D. Pinna, Ar. Abanov, Jairo Sinova, and K. Everschor-Sitte",Characterizing breathing dynamics of magnetic skyrmions and antiskyrmions within the Hamiltonian formalism,True,28
10.1103/PhysRevB.99.054431,sect-articles-magnetism,99/5,27 February 2019,"L. Herrera Diez, M. Voto, A. Casiraghi, M. Belmeguenai, Y. Roussigné, G. Durin, A. Lamperti, R. Mantovan, V. Sluka, V. Jeudy, Y. T. Liu, A. Stashkevich, S. M. Chérif, J. Langer, B. Ocker, L. Lopez-Diaz, and D. Ravelosona",Enhancement of the Dzyaloshinskii-Moriya interaction and domain wall velocity through interface intermixing in Ta/CoFeB/MgO,False,50
10.1103/PhysRevB.99.054432,sect-articles-magnetism,99/5,27 February 2019,"C. B. Larsen, A. T. Rømer, S. Janas, F. Treue, B. Mønsted, N. E. Shaik, H. M. Rønnow, and K. Lefmann",Exact diagonalization study of the Hubbard-parametrized four-spin ring exchange model on a square lattice,False,7
10.1103/PhysRevB.99.054433,sect-articles-magnetism,99/5,27 February 2019,"Roberto E. Troncoso, Karsten Rode, Plamen Stamenov, J. Michael D. Coey, and Arne Brataas",Antiferromagnetic single-layer spin-orbit torque oscillators,False,14
10.1103/PhysRevB.99.054434,sect-articles-magnetism,99/5,28 February 2019,"Alexey M. Shakirov, Alexey N. Rubtsov, and Pedro Ribeiro",Spin transfer torque induced paramagnetic resonance,False,12
10.1103/PhysRevB.99.054435,sect-articles-magnetism,99/5,28 February 2019,"Yong Liu, Tao Ma, Lin Zhou, Warren E. Straszheim, Farhan Islam, Brandt A. Jensen, Wei Tian, Thomas Heitmann, R. A. Rosenberg, J. M. Wilde, Bing Li, Andreas Kreyssig, Alan I. Goldman, B. G. Ueland, Robert J. McQueeney, and David Vaknin","Crystal growth, microstructure, and physical properties of SrMnSb2",False,17
10.1103/PhysRevB.99.054436,sect-articles-magnetism,99/5,28 February 2019,Khagendra Adhikari and K. S. D. Beach,Deforming the Fredkin spin chain away from its frustration-free point,False,3
10.1103/PhysRevB.99.054501,sect-articles-superfluidity-and-superconductivity,99/5, 4 February 2019,"Ying Zhou, Xuliang Chen, Chao An, Yonghui Zhou, Langsheng Ling, Jiyong Yang, Chunhua Chen, Lili Zhang, Mingliang Tian, Zhitao Zhang, and Zhaorong Yang",Pressure-induced irreversible evolution of superconductivity in PdBi2,False,15
10.1103/PhysRevB.99.054502,sect-articles-superfluidity-and-superconductivity,99/5, 5 February 2019,"T. S. Riekki, A. P. Sebedash, and J. T. Tuoriniemi",Thermodynamics of adiabatic melting of solid He4 in liquid He3,False,3
10.1103/PhysRevB.99.054503,sect-articles-superfluidity-and-superconductivity,99/5, 6 February 2019,"Anshu Sirohi, Surabhi Saha, Prakriti Neha, Shekhar Das, Satyabrata Patnaik, Tanmoy Das, and Goutam Sheet",Multiband superconductivity in Mo8Ga41 driven by a site-selective mechanism,False,13
10.1103/PhysRevB.99.054504,sect-articles-superfluidity-and-superconductivity,99/5,11 February 2019,"A. E. Karakozov, M. V. Magnitskaya, L. S. Kadyrov, and B. P. Gorshunov",Doping evolution of the gap structure and spin-fluctuation pairing in Ba(Fe1−xCox)2As2 superconductors,False,4
10.1103/PhysRevB.99.054505,sect-articles-superfluidity-and-superconductivity,99/5,13 February 2019,"Bitan Roy, Sayed Ali Akbar Ghorashi, Matthew S. Foster, and Andriy H. Nevidomskyy",Topological superconductivity of spin-3/2 carriers in a three-dimensional doped Luttinger semimetal,True,59
10.1103/PhysRevB.99.054506,sect-articles-superfluidity-and-superconductivity,99/5,14 February 2019,"Makoto Yokoyama, Kohei Suzuki, Kenichi Tenya, Shota Nakamura, Yohei Kono, Shunichiro Kittaka, and Toshiro Sakakibara",Anisotropic magnetic-field response of quantum critical fluctuations in Ni-doped CeCoIn5,False,3
10.1103/PhysRevB.99.054507,sect-articles-superfluidity-and-superconductivity,99/5,15 February 2019,"Haining Pan, Jay D. Sau, Tudor D. Stanescu, and S. Das Sarma",Curvature of gap closing features and the extraction of Majorana nanowire parameters,False,9
10.1103/PhysRevB.99.054508,sect-articles-superfluidity-and-superconductivity,99/5,15 February 2019,J. A. Andrade and Alejandro M. Lobos,Anisotropy and spin-fluctuation effects on the spectral properties of Shiba impurities,False,1
10.1103/PhysRevB.99.054509,sect-articles-superfluidity-and-superconductivity,99/5,19 February 2019,"Tom Kim, Chih-Chun Chien, and Shi-Zeng Lin",Reentrant Fulde-Ferrell-Larkin-Ovchinnikov state in small-sized superconductors,False,4
10.1103/PhysRevB.99.054510,sect-articles-superfluidity-and-superconductivity,99/5,19 February 2019,"M. D. Nguyen, A. M. Zimmerman, and W. P. Halperin",Corrections to Higgs mode masses in superfluid He3 from acoustic spectroscopy,False,4
10.1103/PhysRevB.99.054511,sect-articles-superfluidity-and-superconductivity,99/5,19 February 2019,"D. Schmoranzer, M. J. Jackson, Š. Midlik, M. Skyba, J. Bahyl, T. Skokánková, V. Tsepelin, and L. Skrbek",Dynamical similarity and instabilities in high-Stokes-number oscillatory flows of superfluid helium,False,9
10.1103/PhysRevB.99.054512,sect-articles-superfluidity-and-superconductivity,99/5,19 February 2019,Yusuke Masaki,Vortex charges and impurity effects based on quasiclassical theory in an s-wave and a chiral p-wave superconductor,False,5
10.1103/PhysRevB.99.054513,sect-articles-superfluidity-and-superconductivity,99/5,22 February 2019,"B. P. P. Mallett, P. Marsik, D. Munzar, C. Bernhard, and A. Dubroka",Signatures of the bonding-antibonding splitting in the c-axis infrared response of moderately underdoped bilayer and trilayer cuprate superconductors,False,3
10.1103/PhysRevB.99.054514,sect-articles-superfluidity-and-superconductivity,99/5,22 February 2019,"Masaaki Isobe, Koji Kimoto, Masao Arai, and Eiji Takayama-Muromachi",Superconductivity in BaIrSi2: A 5d electron system with a noncentrosymmetric crystal structure,False,6
10.1103/PhysRevB.99.054515,sect-articles-superfluidity-and-superconductivity,99/5,25 February 2019,"Nicholas A. Lewellyn, Ilana M. Percher, JJ Nelson, Javier Garcia-Barriocanal, Irina Volotsenko, Aviad Frydman, Thomas Vojta, and Allen M. Goldman",Infinite-randomness fixed point of the quantum superconductor-metal transitions in amorphous thin films,False,10
10.1103/PhysRevB.99.054516,sect-articles-superfluidity-and-superconductivity,99/5,25 February 2019,"Subir Sachdev, Harley D. Scammell, Mathias S. Scheurer, and Grigory Tarnopolsky",Gauge theory for the cuprates near optimal doping,True,46
10.1103/PhysRevB.99.054517,sect-articles-superfluidity-and-superconductivity,99/5,25 February 2019,"Guan-Yu Chen, Enyu Wang, Xiyu Zhu, and Hai-Hu Wen",Synergy and competition between superconductivity and antiferromagnetism in FeSe under pressure,False,8
10.1103/PhysRevB.99.054518,sect-articles-superfluidity-and-superconductivity,99/5,26 February 2019,"E. I. Timmons, M. A. Tanatar, K. Willa, S. Teknowijoyo, Kyuil Cho, M. Kończykowski, O. Cavani, Yong Liu, T. A. Lograsso, U. Welp, and R. Prozorov",Competition between orthorhombic and re-entrant tetragonal phases in underdoped Ba1−xKxFe2As2 probed by the response to controlled disorder,False,4
10.1103/PhysRevB.99.054519,sect-articles-superfluidity-and-superconductivity,99/5,28 February 2019,"G. Lemarié, I. Maccari, and C. Castellani",Kane-Fisher weak link physics in the clean scratched XY model,False,2
10.1103/PhysRevB.99.054520,sect-articles-superfluidity-and-superconductivity,99/5,28 February 2019,"Jasen A. Scaramazza, Pietro Smacchia, and Emil A. Yuzbashyan",Consequences of integrability breaking in quench dynamics of pairing Hamiltonians,False,10
